"id","supply_summary_id","supply_activity_item_log_id","supply_activity_item_log_created_at","error_message","created_at","created_by"
"20d384ed-9dda-4915-848f-e049246e65e0",,"9f99c960-8b4f-4d15-baf4-98e3d45007e8",2024-04-16 17:20:08.904 +0530,Source updated at time is after event generated at time,2024-04-16 17:20:08.927 +0530,GIV
"63fe57b2-d783-411c-94bc-2b88eb3ee4fd",,d0c117ba-cf2b-4f55-ae12-172bfaebed99,2024-04-16 18:50:46.280 +0530,Quantity cannot be negative or decimal,2024-04-16 18:50:46.288 +0530,GIV
"9b9cf31d-9b1e-427a-ad6b-e248754c2410",,"311c2c20-f016-401d-a3c8-25dc978043ba",2024-04-16 19:01:12.895 +0530,Quantity cannot be negative or decimal,2024-04-16 19:01:12.902 +0530,GIV
"049da32e-55d3-4a79-9a7d-82c3572e35a0",,ffc752a7-5dca-41c4-8e52-67cf2dd5c9b1,2024-04-16 22:59:33.047 +0530,Quantity cannot be negative or decimal,2024-04-16 22:59:33.075 +0530,GIV
bd773005-4539-4417-8b5d-d63f38d74b0f,,fdacaaa9-3a6f-40b8-b6c4-83c9a2297d84,2024-04-16 23:26:54.753 +0530,Source updated at time is in future,2024-04-16 23:26:54.760 +0530,GIV
b261be81-7267-4b00-afbb-881986bbd783,,b59375e0-ef9e-4477-a8e7-42f7b599d846,2024-04-16 23:32:04.444 +0530,Source updated at time is in future,2024-04-16 23:32:04.452 +0530,GIV
"0a3440fb-d7de-4e64-95d2-dd289cf47c52",,"64d4a366-1168-40c2-9d5a-204266255d6c",2024-04-17 10:51:38.624 +0530,Source updated at time is in future,2024-04-17 10:51:38.794 +0530,GIV
ec45c986-a019-4ded-be6f-8195f141b9e2,,"66248640-0754-486a-a5a1-8d7371ae9e43",2024-04-17 11:43:03.747 +0530,Source updated at time is in future,2024-04-17 11:43:03.755 +0530,GIV
"894fda6e-ac95-47d4-88b0-0be7dd095370",,"2fde95f1-8690-4e2b-af4b-f93de0f9b698",2024-04-17 15:15:38.213 +0530,Quantity cannot be negative or decimal,2024-04-17 15:15:38.227 +0530,GIV
"83278c24-6749-44f8-ad15-4c00f808b69e",,f25228ee-8d7e-424b-8789-64bba3556861,2024-04-18 10:22:14.458 +0530,Quantity cannot be negative or decimal,2024-04-18 10:22:14.477 +0530,GIV
ba48ffb1-4789-4500-b4dd-e677d89e3e63,,"94bf62c5-02b2-4641-8950-ecaa2a19c27d",2024-04-18 11:33:20.290 +0530,Quantity cannot be negative or decimal,2024-04-18 11:33:20.307 +0530,GIV
"3a15ceab-f472-43f9-933e-a34d5edeaef8",,"528f94ae-cdbb-45c0-8108-2e821b58eb76",2024-04-18 12:53:53.318 +0530,Quantity cannot be negative or decimal,2024-04-18 12:53:53.334 +0530,GIV
"31119298-81b1-4c73-81b5-0ffbbd49b9b5",,fd85f507-711f-417c-a745-472674933e3b,2024-04-18 15:40:03.110 +0530,Quantity cannot be negative or decimal,2024-04-18 15:40:03.146 +0530,GIV
"237cb783-1f41-4dfb-bc77-7626a2adba99",,"27f17602-7593-4c97-b6c6-d848a6e5111c",2024-04-18 15:49:58.445 +0530,Quantity cannot be negative or decimal,2024-04-18 15:49:58.458 +0530,GIV
"8055bfdf-3e34-4a7e-9308-dc099efff025",,bfcc7d7b-62d5-410b-9670-e89997c5db51,2024-04-18 15:49:58.445 +0530,Source updated at time is in future,2024-04-18 15:49:58.458 +0530,GIV
"3c4ca052-501c-472b-b975-ad760ac4ddbe",,dbe8fd65-7046-4402-a488-eb4474d7476a,2024-04-18 15:49:58.445 +0530,Source updated at time is after event generated at time,2024-04-18 15:49:58.458 +0530,GIV
"8c07d617-9fbd-46a6-b71d-8a8ca74dc377",,"8468d7f9-0535-4a78-892b-317e70d13f26",2024-04-18 15:56:51.727 +0530,Quantity cannot be negative or decimal,2024-04-18 15:56:51.739 +0530,GIV
"187a64f2-665a-439d-a828-078d6795bf3d",,"9367e31d-12fa-402a-9ce5-bc3c5e8e24f8",2024-04-18 15:56:51.727 +0530,Source updated at time is in future,2024-04-18 15:56:51.740 +0530,GIV
"89a5d800-1257-4b2c-97ee-a640eb6f6433",,"759178c3-17c5-4166-bf6a-163d2212f4e5",2024-04-18 16:27:58.305 +0530,Quantity cannot be negative or decimal,2024-04-18 16:27:58.317 +0530,GIV
"5d5bc6c4-66a9-48e4-9155-e7d114b774e4",,"61dacc28-d020-4429-ab9d-27060f14c77f",2024-04-18 16:27:58.305 +0530,Source updated at time is in future,2024-04-18 16:27:58.317 +0530,GIV
